These are your personal leaderboard statistics. Rank is your position on that leaderboard: 1 means you were the first person to get that star, 2 means the second, 100 means the 100th, etc. Score is the number of points you got for that rank: 100 for 1st, 99 for 2nd, ..., 1 for 100th, and 0 otherwise.

      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   06:05:28   5997      0   06:07:49   3909      0
 24   05:58:04   2247      0   05:59:50   2149      0
 23   05:52:46   4445      0   09:28:46   3308      0
 22   02:54:32   6058      0   03:10:41   1978      0
 21   02:36:05   7075      0   15:28:37  11021      0
 20   03:29:04   5285      0   03:30:20   5023      0
 19   09:58:40   4137      0   10:11:01   3933      0
 18   12:44:37   8601      0   12:52:45   8388      0
 17   02:08:50   6376      0   02:18:03   5611      0
 16   03:16:21   5890      0   04:18:39   5900      0
 15   01:46:53   5808      0   02:06:11   4115      0
 14   02:30:02  12610      0   04:44:58  11023      0
 13   03:06:56  12207      0   03:15:00  11418      0
 12   04:06:09  11035      0   04:58:38  10931      0
 11   01:56:44   8188      0   02:07:12   8246      0
 10   02:13:05  13355      0   02:30:18  12485      0
  9   02:31:34  15663      0   03:25:43  12152      0
  8   01:11:49  12116      0   01:53:49   5669      0
  7   01:37:22  15390      0   01:45:29  14352      0
  6   01:42:50  14187      0   01:54:21  10493      0
  5   05:54:56  22452      0   06:02:05  19452      0
  4   12:24:04  37411      0   12:32:07  33885      0
  3   03:33:02  30866      0   04:00:48  19927      0
  2   02:36:46  25670      0   02:42:51  24294      0
  1   02:59:32  19702      0   03:02:17  16960      0
